ActID,Full_Name,Short_Name,IsAct,IsActNm
"1","Factory Act","Factory Act","1","True"
"2","Delhi Value Added Tax","DVAT","1","True"
"3","Test Act","Test Act","1","True"
"4","Inter-State Migrant Workmen (Regulation of employment and Conditions of Service) Act 1978","Inter State Migrant","1","True"
"5","Food Safety  Standards Act 2006","Food Safety","1","True"
"6","The Private Security Agency Regulation Act 2005","Private Security","1","True"
"7","The Sexual Harassment of Women at Workplace (Prevention Prohibition and Redressal) Act 2013","Sexual Harassment","1","True"
"8","The Child Labour (Prohibition  Regulation Act)1986","Child Labour","1","True"
"9","Prohibition of Smoking in Public Places Act 2008","Prohibition of Smoking","1","True"
"10","Professional Tax (state wise)","Professional Tax","1","True"
"11","The Apprentices Act 1961","Apprentices Act","1","True"
"12","Payment of  Wages Act 1936","Payment of Wages","1","True"
"13","The Boilers Act 1923","Boilers Act","1","True"
"14","The Industrial Establishments (National and Festival Holidays) Act 1958","National  Festival Holidays","1","True"
"15","The Explosives Act 1884","Explosives Act","1","True"
"16","Industrial Employment (Standing Orders) Act 1946","Standing Orders","1","True"
"17","Industrial Disputes Act 1947","Industrial Disputes","1","True"
"18","Factory Act 1948","Factories Act","1","True"
"19","Equal remuneration Act 1976","Equal Remu.","1","True"
"20","Employeesâ€™ Compensation Act 1923","Employ Comp.","1","True"
"21","Contract Labour (Rugulation  Abolution) Act 1970","CLRA - Cont","1","True"
"22","Contract Labour (Rugulation  Abolution) Act 1970","CLRA - PE","1","True"
"23","The Building And Other Construction Workers Act 1996","Building and Const.","1","True"
"24","Employment Exchanges (Compulsory Notification of Vacancies) Act 1959","Employment Exch.","1","True"
"25","The Maternity Benefit Act - 1961","Maternity","1","True"
"26","Labour Welfare Fund Act (state wise)","LWF","1","True"
"27","Payment of Gratuity Act 1972","Gratuity","1","True"
"28","The Minimum Wages Act 1948","Min. Wages","1","True"
"29","Employees State Insurance Act 1948","ESI","1","True"
"30","The Employees Provident Fund and Miscellaneous Provisions Act 1952","PF","1","True"
"31","Shop  Commercial Establishment Act (State Wise)","S and E","1","True"
"32","Payment of Bonus Act 1965","Bonus Act","1","True"
"33","Test full1","test","1","True"
